start,path,missing_reactions,num_missing,flux,blocked_reactions,dead_end_metabolites
cpd00254_e0,"['cpd00254_e0', 'cpd00254_c0', 'cpd00007_c0', 'cpd00211_c0']","['rxn32889', 'rxn45869', 'rxn47214']",3,0.0,"['rxn45869', 'rxn47214']","['cpd01449_c0', 'cpd00211_c0', 'cpd20952_c0', 'cpd01011_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00260_c0', 'cpd00004_c0', 'cpd00211_c0']","['rxn05589', 'rxn30141', 'rxn47214']",3,0.0,"['rxn05589', 'rxn47214', 'rxn30141']","['cpd00260_e0', 'cpd00211_c0', 'cpd01011_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00260_c0', 'cpd00001_c0', 'cpd00211_c0']","['rxn05589', 'rxn34304', 'rxn45696']",3,0.0,"['rxn05589', 'rxn45696', 'rxn34304']","['cpd00260_e0', 'cpd00331_c0', 'cpd32214_c0', 'cpd00260_c0', 'cpd00211_c0', 'cpd24202_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00260_c0', 'cpd00067_e0', 'cpd00211_c0']","['rxn05589', 'rxn12802', 'rxn08183']",3,0.0,[],"['cpd00260_e0', 'cpd00260_c0', 'cpd00211_c0', 'cpd00211_e0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_e0', 'cpd00142_c0', 'cpd00211_c0']","['rxn13722', 'rxn08029', 'rxn00994']",3,0.0,"['rxn08029', 'rxn00994']","['cpd00279_c0', 'cpd00142_e0', 'cpd00211_c0', 'cpd00120_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_e0', 'cpd00029_c0', 'cpd00211_c0']","['rxn13722', 'rxn08061', 'rxn13427']",3,0.0,['rxn13427'],['cpd16910_c0']
cpd00254_e0,"['cpd00254_e0', 'cpd00067_e0', 'cpd00211_c0']","['rxn13722', 'rxn08183']",2,0.0,[],"['cpd00211_c0', 'cpd00211_e0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_e0', 'cpd00001_c0', 'cpd00211_c0']","['rxn13722', 'rxn42569', 'rxn45696']",3,0.0,['rxn45696'],"['cpd24202_c0', 'cpd00211_c0', 'cpd32214_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_e0', 'cpd00008_c0', 'cpd00211_c0']","['rxn13722', 'rxn34199', 'rxn01236']",3,0.0,"['rxn01236', 'rxn34199']","['cpd00008_e0', 'cpd01662_c0', 'cpd00002_e0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_e0', 'cpd00003_c0', 'cpd00211_c0']","['rxn13722', 'rxn27378', 'rxn36395']",3,0.0,['rxn36395'],"['cpd00211_c0', 'cpd24799_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_e0', 'cpd00007_c0', 'cpd00211_c0']","['rxn13722', 'rxn47403', 'rxn47214']",3,0.0,"['rxn47403', 'rxn47214']","['cpd25750_c0', 'cpd31235_c0', 'cpd00211_c0', 'cpd01011_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_e0', 'cpd00004_c0', 'cpd00211_c0']","['rxn13722', 'rxn47398', 'rxn47214']",3,0.0,"['rxn47398', 'rxn47214']","['cpd01011_c0', 'cpd27500_c0', 'cpd00211_c0', 'cpd27501_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_e0', 'cpd00728_c0', 'cpd00211_c0']","['rxn13722', 'rxn12565', 'rxn13713']",3,0.0,"['rxn12565', 'rxn13713']","['cpd07946_c0', 'cpd00728_e0', 'cpd00211_c0', 'cpd00120_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00008_c0', 'cpd00001_c0', 'cpd00211_c0']","['rxn10571', 'rxn48267', 'rxn45696']",3,0.0,"['rxn48267', 'rxn45696']","['cpd11930_e0', 'cpd32214_c0', 'cpd11930_c0', 'cpd00211_c0', 'cpd24202_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00008_c0', 'cpd00029_c0', 'cpd00211_c0']","['rxn10571', 'rxn34299', 'rxn13427']",3,0.0,['rxn13427'],['cpd16910_c0']
cpd00254_e0,"['cpd00254_e0', 'cpd00008_c0', 'cpd00211_c0']","['rxn10571', 'rxn01236']",2,0.0,['rxn01236'],['cpd01662_c0']
cpd00254_e0,"['cpd00254_e0', 'cpd00008_c0', 'cpd00067_e0', 'cpd00211_c0']","['rxn10571', 'rxn34199', 'rxn08183']",3,0.0,['rxn34199'],"['cpd00008_e0', 'cpd00002_e0', 'cpd00211_c0', 'cpd00211_e0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00008_c0', 'cpd00006_c0', 'cpd00211_c0']","['rxn10571', 'rxn31717', 'rxn36394']",3,0.0,"['rxn36394', 'rxn31717']","['cpd01822_c0', 'cpd00415_c0', 'cpd00211_c0', 'cpd24799_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00008_c0', 'cpd00007_c0', 'cpd00211_c0']","['rxn10571', 'rxn34325', 'rxn47214']",3,0.0,"['rxn34325', 'rxn47214']","['cpd30058_c0', 'cpd00211_c0', 'cpd01011_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00008_c0', 'cpd00004_c0', 'cpd00211_c0']","['rxn10571', 'rxn37348', 'rxn47214']",3,0.0,"['rxn37348', 'rxn47214']","['cpd00211_c0', 'cpd24817_c0', 'cpd24812_c0', 'cpd01011_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00008_c0', 'cpd00003_c0', 'cpd00211_c0']","['rxn10571', 'rxn33680', 'rxn36395']",3,0.0,['rxn36395'],"['cpd00211_c0', 'cpd24799_c0']"
