env_idx,model_id,biomass,Acetate,Formate,Lactate,Butyrate,Propionate
1,MAG001.sbml_gapfilled_noO2,89.66899122559695,0.0,4.9185605096703195,-6.067232767609868,0.0,0.0
1,MAG002.sbml_gapfilled_noO2,214.16306279242616,0.0,-3.931499748238225,0.0,0.0,0.0
2,MAG001.sbml_gapfilled_noO2,139.05827687999994,-4.541555666155443,5.74694497665367,0.0,0.0,0.0
2,MAG002.sbml_gapfilled_noO2,214.37585546064366,0.0,-9.070978212601972,0.0,0.0,0.0
